Age,Income,Tenure,MonthlyCharge,Bandwidth_GB_Year,Outage_sec_perweek,Yearly_equip_failure,Techie,Contacts,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Reliability,Options,Respectfulness,Courteous,Listening,Responses,Solutions,Replacements,Churn,Contract_Month-to-month,Contract_One year,Contract_Two Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_No service,"Education_9th Grade to 12th Grade, No Diploma",Education_Associate's Degree,Education_Bachelor's Degree,Education_Doctorate Degree,Education_GED or Alternative Credential,Education_Master's Degree,Education_No Schooling Completed,Education_Nursery School to 8th Grade,Education_Professional School Degree,Education_Regular High School Diploma,"Education_Some College, 1 or More Years, No Degree","Education_Some College, Less than 1 Year",Employment_Full Time,Employment_Part Time,Employment_Retired,Employment_Student,Employment_Unemployed,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Prefer not to answer
30,33186.785,2.415991977,127.0317766,594.1054279,6.520830558,0,0,1,1,0,1,0,1,0,0,0,4,3,4,3,5,5,5,4,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
52,27442.03,6.652298992,125.5623018,713.0633088,9.970974396,1,0,1,1,0,0,0,0,1,0,0,2,2,3,5,5,3,3,3,0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
68,79699.62,8.543717478,150.3295122,945.3802928,7.490198816,0,0,0,1,0,0,0,0,1,1,0,5,3,4,4,3,4,4,3,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
75,28520.32,5.770390256,163.3124055,870.76398,14.54825704,0,0,1,1,1,1,0,1,0,0,1,2,4,4,3,4,3,3,4,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
77,12558.83,4.157658837,94.06699355,774.2937069,11.37952059,0,0,1,1,0,0,0,0,0,0,0,4,2,4,5,5,4,4,4,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
47,8762.23,10.40566091,222.9597637,1506.446527,16.1723942,1,0,0,1,0,1,0,1,0,1,1,3,3,5,4,4,5,3,5,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
70,43882.72,1.392421597,141.092117,419.0508708,15.8467065,0,0,0,1,0,0,1,1,0,1,0,4,4,2,2,2,2,2,3,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
53,33186.785,36.19603,230.6237646,1259.415493,43.92705189,0,1,2,1,0,0,0,1,0,1,1,3,2,4,4,2,3,4,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
69,33186.785,5.425864884,259.3879183,1745.125956,12.35437248,0,0,1,1,1,1,1,1,0,1,1,3,2,5,5,4,4,4,4,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
45,43383.54,11.08287797,230.9648914,1795.465729,7.472844182,0,0,0,0,0,0,1,0,0,1,1,5,3,3,3,2,3,2,1,0,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
40,21793.88,36.19603,147.8152871,492.4771472,4.776157747,0,0,2,1,1,0,1,0,0,0,0,3,3,2,4,3,2,3,4,0,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
82,51960.51,4.727388465,230.2438882,1013.993166,8.913416857,0,0,0,1,0,0,1,0,0,1,1,5,2,5,3,5,4,4,4,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
53,33186.785,20.89923386,175.8247451,3382.424,11.99819427,1,0,1,1,1,1,1,0,0,1,0,3,5,3,4,1,5,5,4,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
53,11211.59,3.471329958,267.4362279,1081.814362,5.312361826,0,0,1,1,1,1,0,1,1,1,1,5,2,6,5,5,6,5,5,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
52,8283.29,5.478588204,162.6090148,1209.961168,13.92937482,1,0,0,1,1,1,1,0,1,0,0,4,3,3,4,3,4,2,3,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
26,10114.81,3.312991809,258.4081654,897.5919144,44.72520233,1,0,1,1,1,1,1,1,1,0,1,5,2,4,5,5,4,3,5,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
25,33186.785,7.161561527,138.7077155,1340.930156,8.15350077,0,0,2,1,1,1,0,1,0,0,0,2,5,3,3,3,5,6,4,0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
66,25397.44,9.847563364,185.8072481,1113.993679,17.68357553,0,0,1,1,0,1,1,0,1,0,1,4,2,4,4,5,4,4,3,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False
72,50336.5,16.04202196,147.2911879,1530.10769,7.790281114,1,0,1,1,0,0,1,1,0,0,0,6,4,4,6,2,3,4,3,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
53,38211.37,9.179779682,199.9341262,3382.424,38.90533531,0,0,1,1,0,0,1,1,0,1,0,3,3,5,4,4,5,2,3,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
53,52887.26,36.19603,105.9429467,892.8964931,6.522328696,0,0,2,1,0,1,0,0,1,0,0,3,5,4,3,3,3,3,2,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
41,12003.33,3.924254455,253.7918326,1125.581944,11.1979215,2,0,1,1,1,1,0,0,1,1,1,5,1,4,3,4,3,3,3,1,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
53,24090.62,18.55959629,192.7622768,2016.710031,8.561096928,0,0,0,1,1,0,0,0,1,0,1,3,4,3,3,4,3,3,3,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
53,33186.785,8.798394712,243.3707028,1412.736809,13.89466275,0,0,0,1,1,1,0,0,0,1,1,4,3,4,3,4,4,4,4,1,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
44,33186.785,10.377366,245.4671211,3382.424,10.87564115,0,0,1,1,1,1,1,1,0,1,1,2,4,3,5,2,3,3,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
23,132116.33,22.25746016,185.0719404,2384.885909,12.60910718,0,0,1,1,0,1,1,0,1,0,1,2,2,4,3,3,4,4,5,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
43,37358.13,9.427146079,194.5713157,1213.940165,9.315148629,0,0,1,1,1,1,1,1,1,0,0,4,3,3,4,3,4,5,3,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
86,26534.16,7.760290062,105.6553743,740.010722,8.561161123,2,0,2,1,0,0,0,0,0,1,0,2,3,3,3,3,3,4,3,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
84,33186.785,11.56938439,92.42950948,897.9716153,12.37711977,1,0,0,1,0,0,0,0,1,0,0,3,5,3,3,4,3,3,4,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
53,33186.785,3.343811019,185.545865,1026.387172,9.523347957,0,0,3,1,1,0,0,1,1,0,1,4,3,5,2,4,2,2,3,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
68,43820.85,7.338869531,188.1878188,1234.244324,8.546827521,0,0,1,1,0,0,0,1,0,1,1,5,4,2,3,2,2,3,3,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
59,38391.55,5.486534225,148.4154058,727.3731845,2.663660525,0,0,0,1,0,0,0,1,0,1,0,3,4,2,5,4,4,4,4,0,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
31,44137.6,1.55278221,167.3108222,452.8721504,8.505759564,0,1,0,1,1,0,0,0,0,1,0,4,4,4,2,3,4,4,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
51,33186.785,12.07970325,158.9035122,1296.674543,7.93962081,0,0,2,1,1,1,0,1,0,0,0,5,4,3,3,4,4,2,4,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False
58,62359.91,13.98666226,131.1822001,1840.628269,12.13605498,1,0,1,1,0,0,0,1,0,1,0,6,3,4,5,3,3,4,3,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
73,82634.86,9.563362997,116.095233,1324.330108,9.531952076,1,0,0,1,0,0,1,0,0,0,0,5,3,3,5,4,5,4,3,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
33,15690.25,6.732948946,142.3770231,958.1397059,11.31019855,1,0,0,1,0,1,0,1,1,0,1,5,4,4,4,5,4,5,5,0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
53,14568.7,15.72071086,221.1610613,3382.424,11.23344836,0,0,2,1,1,0,0,0,1,1,1,2,4,5,5,4,3,5,3,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
49,33186.785,7.233605493,125.8287767,676.712908,9.276154842,0,0,1,1,0,0,0,1,0,0,0,4,4,5,5,4,5,5,3,0,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
26,55319.23,2.871017037,163.8522919,1086.990308,7.273891516,0,0,1,1,0,1,1,0,1,0,1,4,3,4,4,4,5,5,4,0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
25,81831.49,2.344875382,225.2947474,704.7540406,39.88390274,0,0,3,1,1,0,0,1,1,1,0,2,3,4,2,4,3,4,3,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
42,100076.65,7.960490246,150.2616031,1416.444695,8.599583947,0,0,3,1,0,1,1,0,0,0,1,4,3,2,4,4,5,5,5,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
81,69965.65,12.25062113,91.90732298,1095.950634,5.487498047,0,0,0,1,0,0,0,1,0,0,0,3,4,3,2,5,5,5,5,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
43,34883.69,36.19603,128.1616569,1083.610268,14.22358433,0,1,0,1,0,0,0,1,0,0,1,3,4,4,3,3,4,4,4,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
53,33186.785,7.916533093,185.1946788,1570.641337,9.701727666,0,0,1,1,1,0,1,1,0,1,0,3,4,4,4,3,3,4,3,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
70,10964.73,4.471254161,265.9812978,1007.425553,7.029314673,1,0,0,1,1,0,0,1,1,1,1,4,4,3,3,3,3,3,2,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
53,33186.785,10.79028074,207.5721417,1323.028419,10.76672425,0,0,1,1,0,0,0,0,0,1,1,6,2,5,7,4,4,4,3,1,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
48,52636.6,12.24190682,152.3606978,1808.730555,7.802308089,1,0,0,1,1,1,0,0,0,1,0,2,5,2,2,1,3,1,2,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
63,19048.13,2.203859443,198.6516357,1120.241472,9.793779624,1,0,2,1,0,0,0,1,0,1,1,5,4,4,4,3,4,4,4,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
60,42784.82,23.92132231,212.350527,2676.789803,5.824350345,0,0,0,1,0,1,1,0,1,1,1,5,3,7,5,5,5,5,6,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False
87,77996.88,3.7311787,254.1636111,1268.086909,7.013094993,0,1,0,1,1,0,1,0,1,1,1,5,4,3,5,4,3,3,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
54,47507.3,36.19603,162.6137295,822.6771666,32.03094504,0,0,0,1,0,0,1,0,0,0,0,3,5,2,2,3,2,3,3,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
53,7724.73,36.19603,256.579456,3382.424,7.700593432,1,0,0,1,0,0,1,1,1,1,1,3,3,3,3,4,4,3,2,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
70,1509.52,2.378630018,214.1022755,3382.424,12.05902236,0,0,0,1,1,0,1,1,0,0,1,5,2,3,4,4,4,4,4,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
67,81124.71,5.43464555,271.3744783,1648.102673,13.64707199,0,0,0,1,1,1,1,1,1,1,1,3,5,3,3,4,3,3,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
46,11795.57,1.092361222,201.5905907,768.0874545,9.033079233,0,0,0,1,0,0,0,1,1,1,1,2,3,1,3,2,1,1,2,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
53,33186.785,20.13981517,149.2913801,2426.030626,6.796336078,1,0,2,1,0,0,1,0,0,0,1,4,3,3,4,4,2,2,3,0,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
24,19038.78,24.64873861,240.7606959,3382.424,13.69012091,0,0,1,1,1,0,0,0,0,1,1,1,4,4,3,3,4,4,5,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
20,79167.77,9.677739656,126.242338,1129.549713,13.64419363,0,0,0,1,0,1,0,1,0,0,0,4,5,4,3,3,3,4,3,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
53,37428.26,9.82814183,188.6701828,1771.286466,14.85470353,1,0,2,1,0,0,0,0,0,1,1,2,5,3,3,4,3,4,3,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
53,45148.38,7.832238337,171.6836341,943.3391244,17.35455406,0,0,1,1,1,0,0,1,1,0,0,4,4,3,4,4,3,3,3,0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
53,74855.47,19.45250317,191.0610724,1907.226083,7.117737737,0,0,3,1,1,0,0,0,1,0,1,3,1,5,4,4,4,4,4,0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
71,33186.785,14.34766616,119.689113,1885.939118,7.949187078,0,0,1,1,0,1,0,1,1,0,0,3,4,3,2,5,4,4,3,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
32,71596.14,2.257358355,195.4035452,631.7435653,8.999994263,0,0,0,1,1,1,1,1,1,0,0,5,3,3,5,2,5,3,5,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
33,10389.95,2.358129018,138.1911656,3382.424,4.274255962,0,0,1,1,0,1,0,0,0,1,0,3,3,4,3,6,3,3,4,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
67,19657.14,4.650578623,115.8369419,593.8572264,15.45723779,0,0,3,1,0,0,1,0,1,0,0,2,5,4,2,3,3,3,2,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
66,27827.03,3.721772616,208.068307,777.3060718,7.703726062,1,0,1,1,1,0,0,0,0,1,1,6,1,4,3,3,4,3,3,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
53,33186.785,3.76663012,187.6215728,1393.202392,8.926117575,0,0,4,1,0,0,0,0,0,1,1,3,3,3,3,5,4,4,4,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
61,19815.63,4.151256695,136.0997678,393.6524652,12.74200169,2,0,0,1,0,0,1,0,0,0,0,4,3,4,5,4,3,2,3,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
75,58482.9,2.188918771,192.0084484,3382.424,7.83211249,0,0,0,1,1,0,0,1,0,0,1,3,3,4,3,3,3,3,3,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
63,33186.785,13.85488928,221.0353527,2138.107161,13.60393581,0,0,1,0,0,0,1,1,0,1,1,2,4,3,2,4,3,2,3,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
68,115510.46,3.273341151,163.0404044,443.984031,5.655483352,0,0,1,1,0,1,0,0,1,0,1,4,3,3,4,3,2,2,2,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
32,33186.785,19.75096265,161.1025056,2481.385603,8.065866812,1,0,1,1,1,0,1,1,0,0,0,3,3,3,3,3,2,2,3,1,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
53,33186.785,18.38404445,186.6210869,2233.567181,11.47541549,0,0,1,1,1,0,0,1,1,0,1,4,2,4,5,3,3,2,3,0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
29,24270.88,4.672610857,244.4658583,3382.424,10.37979788,0,0,0,1,0,1,1,1,0,1,1,5,1,5,5,4,5,5,4,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
53,54466.33,6.796299371,124.8019028,529.40733,8.657901827,1,0,0,1,0,0,0,1,0,0,0,3,2,4,3,4,4,4,4,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
23,64816.84,36.19603,188.611913,1956.7337,6.398436616,1,0,1,1,0,1,1,1,1,1,0,4,3,2,3,2,3,2,2,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
