Children,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Age,Tenure,MonthlyCharge,Gender_Female,Gender_Male,Gender_Prefer not to answer,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,InternetService_DSL,InternetService_Fiber Optic,InternetService_No service,Contract_Month-to-month,Contract_One year,Contract_Two Year,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Churn
3,0,0,0,1,0,0,1,0,1,52,70.36396,127.4973,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1,0,0,1,1,0,1,1,1,81,52.68582,210.0726,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
2,1,0,0,0,1,0,1,0,0,25,58.50824,150.3129,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,0,1,1,1,0,1,53,46.55588,163.0972,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
8,1,1,0,0,0,0,0,1,0,36,15.46234,177.6995,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
2,1,0,0,1,1,0,0,1,1,53,64.02401,161.1072,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
4,1,1,0,0,0,0,0,0,0,47,68.79305,173.3912,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
3,1,1,0,0,0,1,1,0,1,35,59.6819,211.7393,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
5,1,0,1,1,0,0,0,0,1,40,42.82228,138.4051,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,1,0,1,24,65.44503,130.0238,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,1,0,0,1,1,0,0,0,70,59.25503,150.393,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,53,50.8022,129.8792,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,53,4.525864256,137.5151398,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
0,1,1,0,1,0,0,0,0,1,86,61.62973,167.5783,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
1,1,1,0,0,1,0,0,1,0,53,11.92905011,174.0798932,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
2,1,1,0,1,0,1,1,0,0,76,9.472450618,205.1577729,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
1,1,0,1,1,1,1,0,0,1,53,2.237136,141.6926,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,1,0,1,1,1,53,59.14141,234.0532,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
1,1,0,1,1,0,0,1,0,1,28,12.01513041,141.1973056,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1
0,1,0,0,1,0,1,1,1,0,85,68.77621,210.1626,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1,0,0,1,0,1,1,0,0,59,1.76975,172.0117,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,1,0,0,1,0,1,1,1,1,53,6.21102,252.1007,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,0,0,1,1,0,0,0,1,0,53,46.05744,173.0997,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,1,0,80,9.8256,127.2464,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,0,0,1,0,1,1,1,23,67.09737,221.834,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2,0,1,0,1,0,0,1,1,1,53,44.21572,261.2696,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
2,1,0,1,0,1,1,1,1,0,25,21.19498,235.0799,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,1,0,0,1,0,0,0,1,1,55,1.156719701,136.0895154,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
1,1,0,1,0,1,0,1,1,0,27,17.7076,220.4576,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2,1,1,0,1,1,1,1,0,0,28,56.50306,217.7069,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,1,1,1,1,0,0,0,1,1,19,12.5247,205.0177,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
2,1,0,0,1,1,1,1,0,1,76,43.86844,151.4868,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,0,1,0,0,1,0,61,71.86603,141.4199,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0,1,1,1,1,0,0,1,0,0,30,17.76510952,162.5620064,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
8,1,0,0,1,0,0,0,1,0,46,3.081551498,170.0354579,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
4,1,0,1,1,1,0,0,1,1,40,68.6711,186.0988,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
9,1,1,0,1,0,0,0,0,0,43,68.02064,146.8389,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
1,1,1,1,1,0,1,0,1,1,42,36.19603,196.5423,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
2,1,1,1,0,1,0,1,1,1,53,71.07998,221.321,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
2,0,1,0,1,0,0,0,1,1,37,36.19603,183.9197,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
4,1,0,0,1,0,0,1,0,0,53,58.09895,139.9325,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
1,1,1,0,1,1,0,1,0,0,53,64.67686,204.7222,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,1,0,1,0,0,1,1,0,1,76,49.01677,120.467,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
2,0,1,0,0,1,1,0,0,1,83,1.715329149,168.7280964,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
4,1,1,1,0,0,0,1,1,0,33,10.26899571,242.1082543,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
3,1,0,0,0,0,0,1,0,1,69,47.43916,129.0387,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,1,0,0,1,1,49,8.294910436,211.2515059,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
3,1,0,0,1,1,0,1,1,0,79,12.3548,221.9475,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,1,1,0,0,1,0,0,0,1,76,69.35043,156.4012,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,1,1,0,1,0,0,1,0,0,53,68.65945,171.5999,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
3,1,0,0,0,0,0,0,1,1,58,52.98326,114.3873,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1,1,86,46.30752,126.8836,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
3,1,0,1,0,1,1,0,1,1,87,58.34548,153.111,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0,1,1,1,0,0,1,53,1.350108155,127.8936582,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
1,0,1,0,0,0,0,1,1,1,70,6.766267697,206.2774583,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1
1,1,1,1,0,1,1,1,0,1,28,7.698156781,179.3627685,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
2,1,0,0,0,1,0,1,0,0,42,36.19603,130.6444694,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
3,1,1,0,1,0,1,1,0,0,53,2.108436379,171.119797,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
1,1,0,1,0,0,0,1,0,1,53,36.19603,147.8097,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,1,0,1,1,1,53,3.613493,221.4058,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1,1,0,1,1,0,0,1,1,1,66,70.44254,231.9982,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
5,1,1,1,0,0,0,0,0,1,53,65.28923,126.1057,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,1,0,1,0,0,0,0,1,1,53,63.42517,117.8122,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,0,1,1,1,0,1,0,0,1,54,36.19603,181.2205,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,1,0,0,53,64.50684,148.5283,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,1,0,1,1,0,1,0,1,1,23,22.25746016,185.0719404,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
9,0,0,0,1,0,0,1,1,1,45,11.08287797,230.9648914,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,1,1,38,63.64621,199.5211,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,1,1,53,64.11078,139.9116,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
9,1,0,1,0,1,1,0,1,1,33,36.19603,143.9369184,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
2,1,0,0,1,0,1,1,1,1,53,36.19603,241.9069541,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
2,1,1,0,0,1,1,0,1,1,69,21.13118502,185.4685435,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
3,1,0,1,1,0,1,0,1,1,53,44.72714,165.2672,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,1,0,0,1,0,53,5.695207,138.2449,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,1,0,0,0,0,1,0,1,53,18.85719622,165.4673188,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
6,1,1,0,0,0,0,0,0,1,53,8.584144,114.2156,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2,1,1,0,1,0,0,1,1,0,49,55.49261,230.0286,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
4,1,0,0,0,1,1,0,0,1,48,16.52138638,106.4136564,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,1,1,1,53,37.45999,211.0055,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
4,1,1,1,0,0,0,1,1,1,53,14.29414131,243.3940935,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1
2,1,0,0,0,0,0,0,0,1,53,17.52138221,92.4635627,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,1,0,0,1,1,1,0,0,1,70,1.235589507,128.0933451,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1,1,1,1,1,0,1,1,0,0,33,36.19603,174.9755,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
2,1,0,0,0,1,0,0,1,0,28,36.19603,160.9084943,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,1,1,0,1,0,0,1,0,0,44,11.42549935,192.5747766,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
3,1,0,0,1,1,0,1,1,1,59,36.19603,209.792,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2,1,0,1,0,1,1,1,0,0,48,70.69523,147.1748,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,1,1,1,1,0,85,8.713385365,232.1655106,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1
1,1,1,1,0,1,1,0,1,1,38,2.327566,190.0072,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
0,1,1,1,1,0,0,0,0,0,46,36.19603,149.4748,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
1,1,0,0,1,1,1,1,1,0,32,49.18219,222.135,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
1,1,1,0,0,0,1,1,1,1,75,54.23273,251.7481,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
1,1,0,0,1,0,0,1,0,1,45,29.10639477,127.3762072,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
6,1,1,0,0,0,0,1,0,1,20,8.574964,169.371,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,1,1,1,1,1,34,63.66258,235.3706,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,58,9.388962476,108.4634516,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,1,1,53,40.46026,169.89,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,1,1,85,70.37667,210.2816,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1,1,1,0,0,1,0,0,1,1,53,6.577552683,194.0043524,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
0,1,0,0,0,1,1,1,0,1,53,43.5663,140.7734,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
5,1,1,0,1,1,0,1,0,0,33,24.77634001,205.0071792,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
1,1,1,0,1,1,1,0,1,1,37,64.62103,227.9352,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
3,1,0,1,0,1,0,1,0,1,77,6.585140105,119.3755538,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
1,1,1,1,0,0,0,1,1,0,53,3.999030359,210.3605218,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,1,0,1,1,0,1,1,0,53,56.70254,275.1714,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,1,1,0,0,0,1,0,0,0,74,7.602068,125.1666,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
2,1,1,0,0,1,0,1,1,1,53,12.52485764,231.0975326,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,1,0,0,1,0,1,1,0,1,43,67.20585,154.7536,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
5,1,1,1,1,1,0,1,1,0,53,61.83307,278.1949,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
4,1,0,0,1,1,0,0,1,0,71,20.5032,181.8554,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,1,0,0,0,1,0,0,1,86,5.321365,158.8668,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
1,1,1,1,0,0,0,1,0,1,87,1.726822,152.3108,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,0,1,1,0,1,0,0,53,60.89236,152.0115,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
4,1,1,1,0,0,0,0,1,0,38,36.19603,149.8959,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0,0,74,2.407697,138.2379,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
3,1,1,1,1,1,0,1,1,0,73,36.19603,269.013115,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1,1,1,1,0,1,0,0,0,1,69,5.877819,140.8647,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
1,1,0,0,0,0,1,0,1,0,30,36.19603,156.4206,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,1,1,0,0,1,0,1,0,1,20,6.998814446,180.2362145,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,1,1,1,0,0,0,1,53,71.20362,117.3156,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0,0,0,78,14.26615817,126.7482034,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
1,1,0,1,1,1,0,0,1,0,58,54.26571,166.2733,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
0,1,1,1,0,0,0,1,0,0,71,2.198687,172.8818,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
2,1,0,1,0,1,0,1,0,1,81,65.55327,151.7783,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,0,1,0,0,1,0,1,53,4.343093,139.634,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,1,1,0,1,1,0,0,1,88,16.41429,139.782,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
2,1,1,1,1,0,0,0,0,0,53,9.573255,169.6302,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,1,53,3.30098,114.3656,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1,1,1,0,1,0,0,0,1,0,56,68.59815,215.2305,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
2,1,0,0,0,0,0,0,0,0,53,62.43504,92.94564,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
4,1,1,0,0,0,1,0,0,1,51,49.88118,125.7997,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0
1,1,1,0,0,1,1,0,0,0,53,3.847102787,149.7323869,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
0,1,1,0,0,0,0,0,1,0,77,1.815836226,179.3851799,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
1,1,0,1,1,1,0,0,0,1,53,47.96511,116.4435,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,1,1,0,0,1,0,1,1,0,25,52.11755,253.0988,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
3,1,0,0,1,1,0,1,1,0,75,13.59261,210.9852,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
3,0,0,1,1,1,0,1,1,0,84,6.343374736,245.3513519,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
3,1,1,0,0,0,0,1,1,1,53,16.19111,238.5944,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,59,2.888303003,136.623792,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
2,1,1,0,1,1,0,0,1,1,62,10.32752,215.0876,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
2,1,0,0,0,1,0,1,0,0,67,63.72204,162.1434,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0,1,1,0,1,0,1,43,11.00718,171.8083,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,1,55,4.078283,111.5662,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
6,1,1,0,1,1,0,1,0,0,74,5.257695,205.249,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,0,1,0,0,0,0,1,0,0,53,59.97805,169.8766,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0,53,53.32394,116.5347,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
2,1,0,0,1,0,0,0,0,0,65,61.37365,116.1102,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0
1,1,0,0,0,1,0,1,0,1,53,37.04844,128.6436,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,1,0,1,68,36.19603,116.4769,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
4,1,0,0,1,0,0,1,0,0,43,62.19865,129.0106,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
4,1,0,1,0,0,1,0,1,0,53,48.76309,130.293,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1,0,1,0,0,1,0,0,0,0,26,58.58252,156.6855,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,1,0,1,56,2.437089876,139.2116263,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
1,1,0,0,1,1,0,1,1,0,68,66.50393,222.072,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
3,1,0,0,0,0,0,1,0,1,53,65.32158,137.2471,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,0,0,1,30,64.42046,148.0283,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,1,0,1,0,1,40,61.72165,204.4631,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
2,1,1,0,1,0,1,1,0,1,36,56.19138,184.8298,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
3,0,0,0,0,1,1,0,0,0,81,36.19603,117.7517,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
5,0,0,0,1,1,0,0,1,1,78,36.19603,212.6530016,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0,23,70.32404,104.9206,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1,1,0,1,0,1,0,0,1,0,19,10.12123118,163.7555467,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,0,1,1,1,53,1.481306,207.3816,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,1,53,3.662342,111.5959,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1,1,1,0,0,0,0,1,1,0,53,15.64596698,241.0182456,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
4,1,1,1,1,0,1,1,0,0,83,8.944195156,175.8525138,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1
1,1,0,1,0,1,0,0,0,1,76,15.02077659,126.1905574,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
4,1,1,0,0,0,0,1,0,1,64,14.23594392,171.3997709,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,1,0,1,1,1,0,1,0,1,53,54.38925,175.1702,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3,1,0,0,1,1,0,1,0,1,19,64.49513,152.6784,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,1,1,37,2.981008475,160.6734108,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,1,0,0,1,0,1,0,1,0,38,20.3759,149.7259,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,1,0,1,1,1,1,0,0,1,53,58.40532,170.4474,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
1,1,1,0,0,0,1,0,0,0,53,14.87053577,136.9587559,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,53,70.35146,116.6139,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,1,25,7.336939062,136.6225566,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
