Unnamed: 0,Children,Age,Education,Employment,Income,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Contract,InternetService,Tenure,MonthlyCharge,Bandwidth_GB_Year,Responses,Solutions,Replacements,Reliability,Options,Respectfulness,Courteous,Listening,Techie_Yes,Port_modem_Yes,Tablet_Yes,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes
345,4.0,85.0,"9th Grade to 12th Grade, No Diploma",Student,14980.5,Female,Yes,9.869461454,9,4,0,Month-to-month,DSL,8.381515693,232.8896664,1718.600163,6,6,5,3,5,4,4,4,False,True,False,True,True,False,False,True,False,True,True,True
346,9.0,54.0,"Some College, Less than 1 Year",Full Time,24017.57,Female,No,42.31709169,14,2,1,Two Year,DSL,14.53315436,254.3826548,2494.633068,4,4,2,3,4,5,4,4,False,True,False,True,False,True,True,False,True,True,True,True
347,8.0,79.0,Bachelor's Degree,Student,33186.785,Male,Yes,8.140009055,11,1,0,Two Year,DSL,13.62832619,212.1122595,2270.749222,5,5,4,2,3,5,6,4,False,True,False,True,False,False,False,True,False,True,True,True
353,0.0,68.0,"9th Grade to 12th Grade, No Diploma",Full Time,122263.81,Female,Yes,14.27365908,15,2,0,Month-to-month,Fiber Optic,7.825845378,161.8339124,863.0820861,5,2,4,3,3,4,3,3,False,False,True,True,False,False,False,True,True,True,False,False
397,1.0,73.0,"9th Grade to 12th Grade, No Diploma",Student,37149.4,Male,No,11.99786218,17,0,0,Two Year,No service,9.797427154,144.0158931,1250.94478,7,6,5,5,2,6,4,4,False,False,False,True,False,True,True,True,False,True,False,True
408,1.0,77.0,Regular High School Diploma,Full Time,33186.785,Female,No,40.60517159,16,2,0,Month-to-month,Fiber Optic,19.244458,200.8643391,1889.642423,4,4,3,4,4,3,3,4,False,False,True,True,False,False,True,True,False,True,False,True
410,1.0,53.0,Regular High School Diploma,Full Time,9729.44,Female,Yes,39.90139204,16,1,0,Two Year,DSL,3.778575882,213.1636141,1254.725693,3,4,3,5,2,3,3,4,False,False,False,True,True,False,False,True,True,False,True,False
426,3.0,61.0,Master's Degree,Full Time,31466.9,Female,No,5.266000069,7,6,0,Month-to-month,Fiber Optic,11.69875604,146.5523549,1189.578203,3,3,4,3,4,3,4,3,False,True,False,True,False,False,True,True,False,False,False,False
428,8.0,53.0,Doctorate Degree,Retired,33186.785,Female,No,36.00106298,16,1,0,Two Year,Fiber Optic,18.46162568,181.7836156,2192.693797,3,3,3,4,4,6,4,3,False,True,False,True,False,True,False,True,False,True,False,True
432,2.0,53.0,Regular High School Diploma,Full Time,18113.33,Female,No,38.49308054,18,0,0,Month-to-month,Fiber Optic,2.644787483,164.8206895,243.2617759,4,4,3,4,5,3,3,3,False,True,False,True,False,False,True,False,False,False,False,False
441,2.0,48.0,Nursery School to 8th Grade,Retired,119964.79,Female,No,12.63904716,16,0,2,Month-to-month,DSL,9.307770559,126.717048,1387.016004,3,4,5,2,4,3,3,3,False,False,False,True,True,True,False,False,False,False,False,True
444,1.0,53.0,Regular High School Diploma,Full Time,33186.785,Female,No,42.3376062,14,0,0,Month-to-month,No service,17.06899012,137.250282,1518.747945,5,5,5,4,2,5,5,5,False,False,True,True,False,True,True,False,False,False,False,False
450,3.0,84.0,Associate's Degree,Full Time,99519.26,Female,No,40.99362937,15,1,0,One year,Fiber Optic,21.71097206,198.1154702,1916.832871,2,2,2,4,4,4,4,3,False,True,False,False,True,False,False,True,True,False,False,True
452,0.0,67.0,"Some College, 1 or More Years, No Degree",Full Time,37852.37,Male,No,34.87548252,14,2,0,One year,Fiber Optic,1.914386255,162.7778238,272.9823095,4,3,3,3,4,3,3,3,False,False,False,True,False,False,True,False,False,False,False,False
465,0.0,18.0,Professional School Degree,Full Time,101000.3,Male,Yes,38.25823571,10,0,1,Month-to-month,DSL,14.58066686,176.937371,2023.519366,5,5,4,2,5,4,3,3,False,False,False,True,True,False,False,False,False,True,False,False
467,1.0,20.0,Bachelor's Degree,Full Time,69156.25,Female,Yes,46.05424854,15,0,0,Two Year,DSL,2.760467902,218.0345048,1283.253595,4,4,4,4,4,4,4,4,False,False,False,True,False,False,False,False,False,True,True,True
470,2.0,53.0,Master's Degree,Retired,156740.67,Male,Yes,13.23416842,13,1,0,Month-to-month,Fiber Optic,1.092219692,192.2164178,499.7170655,3,4,4,3,4,3,2,3,False,True,True,True,True,False,True,False,False,True,False,False
480,10.0,32.0,Nursery School to 8th Grade,Full Time,6958.83,Male,No,6.942865291,11,0,0,Two Year,Fiber Optic,28.79864005,181.8789453,3143.245184,1,2,2,3,2,2,4,3,True,False,False,True,False,False,True,True,False,False,True,False
502,2.0,25.0,Doctorate Degree,Part Time,33186.785,Male,No,42.5517482,14,1,0,Two Year,DSL,5.100566529,160.9056198,1226.343895,4,4,3,4,4,4,2,4,True,False,False,True,False,True,True,False,True,False,False,False
511,1.0,58.0,"9th Grade to 12th Grade, No Diploma",Full Time,146494.7,Male,No,8.749000467,14,2,0,One year,DSL,8.792119046,91.94775013,1216.325478,3,3,3,3,4,4,3,4,False,False,False,True,False,False,False,False,False,False,False,False
513,0.0,26.0,"Some College, 1 or More Years, No Degree",Part Time,159315.5,Female,Yes,9.956447326,13,0,1,Month-to-month,DSL,36.19603,232.4943908,2140.402985,4,5,3,4,3,5,4,4,True,True,True,True,True,False,False,False,True,True,True,False
533,1.0,53.0,Master's Degree,Unemployed,24202.12,Prefer not to answer,No,11.57014363,14,0,0,Two Year,Fiber Optic,8.878536605,198.7045622,1136.118286,2,3,3,7,1,3,4,3,False,False,False,True,True,True,False,True,True,True,False,False
535,0.0,63.0,Associate's Degree,Full Time,36973.83,Female,No,9.795974512,9,4,1,One year,Fiber Optic,6.811759674,163.7748626,831.1303039,4,5,3,3,4,3,4,4,False,True,True,True,False,True,False,True,False,False,True,True
554,10.0,53.0,Bachelor's Degree,Full Time,46353.07,Female,No,11.50448788,14,4,1,Month-to-month,DSL,11.40192641,127.7852964,1808.501398,2,2,2,4,2,3,3,3,False,False,False,True,False,False,True,False,True,False,False,True
559,0.0,88.0,Master's Degree,Retired,33165.9,Male,No,12.46418732,14,2,1,Two Year,Fiber Optic,6.013261132,219.0158023,851.1414085,5,5,3,7,2,6,4,4,False,False,False,True,True,True,True,False,True,False,True,True
567,4.0,28.0,Associate's Degree,Full Time,41955.27,Female,No,13.30346,9,4,0,One year,No service,5.511437756,138.7411409,910.210446,4,4,3,3,2,5,5,3,False,True,True,True,True,False,False,False,False,True,False,False
578,1.0,35.0,Bachelor's Degree,Student,21801.03,Male,No,10.29889435,9,0,1,One year,DSL,4.964368923,90.27592978,1193.589255,5,5,5,4,2,4,5,7,False,False,False,False,False,False,False,False,False,False,False,False
592,2.0,80.0,"9th Grade to 12th Grade, No Diploma",Full Time,33186.785,Male,Yes,10.28180131,10,0,3,Month-to-month,No service,15.37990405,206.9305175,1795.270512,2,3,2,3,4,2,1,3,False,True,True,True,True,False,False,False,False,True,True,True
597,2.0,53.0,"Some College, 1 or More Years, No Degree",Unemployed,33186.785,Male,No,37.34661424,11,1,0,Month-to-month,Fiber Optic,4.768869377,176.8101224,771.6292755,2,3,3,3,5,4,3,4,False,False,True,True,False,True,False,False,False,False,True,True
600,9.0,26.0,Bachelor's Degree,Full Time,29353.41,Female,No,7.540216339,11,0,0,Two Year,Fiber Optic,16.1217624,149.7655864,1845.830672,5,5,5,2,4,4,3,4,True,False,True,True,False,True,True,False,True,False,False,True
606,1.0,71.0,Associate's Degree,Full Time,26164.5,Female,No,39.4837076,15,0,0,Month-to-month,DSL,7.737353244,169.6804607,1290.274294,3,3,2,3,3,3,5,5,False,True,False,True,False,False,False,True,True,True,False,False
621,1.0,43.0,"9th Grade to 12th Grade, No Diploma",Full Time,14900.46,Female,Yes,10.99339536,10,2,3,Month-to-month,No service,1.445148407,163.4173567,3382.424,3,2,3,3,4,3,1,4,False,True,False,True,True,False,False,True,True,True,False,True
624,1.0,56.0,"Some College, 1 or More Years, No Degree",Retired,15621.76,Female,Yes,39.20904978,13,1,0,Month-to-month,DSL,2.08299524,173.4415571,3382.424,5,5,3,4,3,4,4,3,False,False,False,True,False,True,False,True,True,True,False,True
627,1.0,35.0,Associate's Degree,Unemployed,25934.55,Male,No,36.40287,11,2,0,Month-to-month,No service,15.37394197,159.8401098,1829.923575,1,2,3,3,4,3,2,4,False,True,True,True,False,True,False,True,False,False,True,True
642,1.0,53.0,GED or Alternative Credential,Full Time,56574.39,Male,No,38.39725432,11,1,1,Month-to-month,Fiber Optic,14.02310297,232.9759122,1669.613093,4,4,4,4,2,4,5,5,False,True,True,True,True,True,True,False,False,False,True,False
645,1.0,28.0,"9th Grade to 12th Grade, No Diploma",Full Time,18410.16,Female,Yes,40.82805855,14,1,0,Month-to-month,Fiber Optic,2.768037617,191.3760257,570.1301629,5,4,4,5,3,4,4,4,False,False,False,True,False,False,False,True,False,False,True,True
654,5.0,53.0,Master's Degree,Part Time,67828.98,Male,Yes,11.77140863,13,4,0,Month-to-month,No service,2.451160296,148.4310089,3382.424,2,3,2,4,4,3,3,3,False,True,False,True,False,False,True,True,False,False,True,True
656,4.0,82.0,"Some College, Less than 1 Year",Full Time,172884.11,Male,No,7.276379259,10,1,1,Two Year,DSL,1.876407503,183.615716,1075.001724,2,2,2,4,1,4,4,2,False,False,True,True,True,False,True,True,False,True,False,True
665,2.0,53.0,Bachelor's Degree,Full Time,111380.52,Male,No,35.50576422,15,0,0,Two Year,No service,1.846161288,110.3551222,333.3304389,3,2,3,3,3,4,2,5,True,False,False,True,False,False,False,False,False,False,False,False
676,0.0,73.0,Professional School Degree,Full Time,54937.5,Female,No,39.91097801,13,1,1,Month-to-month,No service,9.75910234,155.3447461,871.2907856,4,3,4,3,3,3,3,3,False,False,False,True,True,True,False,False,True,False,False,True
680,1.0,76.0,Regular High School Diploma,Part Time,114609.0,Female,No,8.226637607,9,1,1,Month-to-month,DSL,7.320050181,92.53947933,954.4058631,5,4,5,3,4,3,3,2,False,True,False,True,False,False,False,False,False,False,False,False
685,0.0,53.0,Regular High School Diploma,Part Time,33186.785,Female,Yes,33.0214399,12,0,0,Month-to-month,No service,7.798523158,249.5569684,1307.965782,3,2,3,6,4,3,4,2,True,False,False,True,True,False,False,True,False,True,True,True
688,2.0,53.0,Regular High School Diploma,Full Time,168097.1,Female,No,10.45345249,12,0,0,Month-to-month,Fiber Optic,8.019086021,192.2308161,985.0943424,3,3,4,3,2,4,3,1,False,True,False,True,True,False,False,True,False,False,True,True
697,6.0,82.0,"Some College, Less than 1 Year",Student,26785.51,Female,Yes,14.82462508,10,0,3,Month-to-month,Fiber Optic,1.338441957,182.2400548,491.8773506,5,4,6,3,3,5,4,3,False,False,True,True,True,True,False,False,False,False,True,True
700,10.0,81.0,GED or Alternative Credential,Student,62921.94,Female,No,10.78938873,10,2,0,Month-to-month,DSL,9.84141211,116.5530052,1511.1388,4,5,3,3,4,3,4,6,False,True,True,True,False,False,False,True,True,False,False,False
710,1.0,48.0,Doctorate Degree,Full Time,24034.97,Male,Yes,9.919832523,16,2,3,Month-to-month,DSL,5.567028377,149.9930941,1207.740526,3,4,4,3,3,5,4,4,True,True,True,True,False,False,True,False,False,False,True,False
729,2.0,66.0,Regular High School Diploma,Student,33186.785,Male,Yes,36.44943387,7,1,1,Month-to-month,Fiber Optic,29.8284414,251.0280741,3382.424,3,2,5,3,5,2,2,4,False,False,True,True,False,True,False,True,False,True,True,True
733,1.0,27.0,"9th Grade to 12th Grade, No Diploma",Student,57938.27,Male,No,37.57746031,10,0,0,One year,DSL,6.050060777,168.7544169,1338.110998,3,3,3,3,2,5,5,5,False,True,False,True,False,False,False,True,False,False,True,True
742,1.0,35.0,"9th Grade to 12th Grade, No Diploma",Full Time,112914.39,Female,No,11.9328514,11,1,0,One year,DSL,11.56648604,116.5950526,1663.371666,3,3,2,2,2,3,3,3,False,True,False,True,False,False,False,False,False,True,False,True
744,1.0,70.0,"Some College, 1 or More Years, No Degree",Full Time,27588.53,Male,No,10.16438742,13,4,1,One year,Fiber Optic,12.11795763,161.4593056,1386.813604,5,4,5,2,3,4,5,3,False,False,False,True,False,True,False,True,False,False,True,True
746,1.0,53.0,Regular High School Diploma,Retired,106964.84,Male,No,39.44794049,14,1,0,Month-to-month,DSL,4.303745101,132.7633545,982.8832681,3,4,4,2,4,4,3,2,False,False,False,False,False,False,False,True,False,False,False,False
747,9.0,53.0,No Schooling Completed,Full Time,61475.04,Male,No,12.75809026,12,3,1,One year,No service,7.607475355,115.7791279,1150.859858,4,4,5,3,2,6,4,4,False,False,False,False,False,True,False,False,False,False,True,True
778,2.0,87.0,"Some College, Less than 1 Year",Retired,18455.86,Female,No,10.14463584,14,1,0,One year,No service,6.49110882,129.2816231,752.9918959,3,2,3,2,7,1,2,2,False,True,False,True,False,False,False,True,True,True,False,True
795,1.0,85.0,"Some College, 1 or More Years, No Degree",Full Time,14824.71,Male,Yes,7.996590022,2,0,0,Month-to-month,Fiber Optic,6.284107728,173.0771441,829.2707102,3,4,3,4,3,2,3,1,False,False,True,True,False,False,True,False,False,True,False,True
798,1.0,53.0,Regular High School Diploma,Full Time,4297.28,Female,Yes,39.84661547,13,2,0,Month-to-month,DSL,12.55438733,299.2061638,2312.167935,3,3,3,3,4,3,4,5,False,False,False,True,True,True,True,True,True,True,True,True
802,10.0,24.0,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Female,Yes,14.33864647,15,0,0,Month-to-month,Fiber Optic,14.60526414,261.8654772,2208.615485,4,4,4,5,1,5,5,5,False,True,False,True,True,False,True,False,False,True,True,False
810,1.0,49.0,Bachelor's Degree,Full Time,25435.29,Female,Yes,41.7682425,11,4,0,Month-to-month,Fiber Optic,8.294910436,211.2515059,1048.128938,2,2,3,2,5,2,3,3,False,False,False,True,False,False,True,True,False,False,True,True
822,9.0,53.0,Associate's Degree,Student,12072.44,Male,Yes,8.079562917,12,0,0,Month-to-month,No service,36.19603,173.5562558,2033.164639,4,3,4,2,5,2,2,4,False,True,False,True,True,False,True,True,False,True,False,True
825,3.0,53.0,"Some College, 1 or More Years, No Degree",Full Time,35223.63,Female,Yes,36.09343937,7,0,2,Month-to-month,DSL,6.492246879,183.4218762,3382.424,4,4,3,3,4,3,5,2,True,False,False,True,False,True,True,True,False,True,False,False
837,10.0,19.0,Bachelor's Degree,Full Time,23299.98,Female,No,9.091535025,16,1,1,Month-to-month,No service,23.956929,128.9934306,2653.32821,3,3,3,4,2,4,5,2,False,True,True,True,False,False,False,True,True,True,False,True
850,0.0,22.0,Bachelor's Degree,Full Time,58126.33,Female,Yes,46.0216944,17,1,0,Month-to-month,Fiber Optic,11.38490458,269.5466057,1549.466596,3,3,4,5,4,3,3,1,False,False,False,True,True,False,False,False,False,True,True,True
857,1.0,53.0,Master's Degree,Full Time,27405.08,Female,No,10.3976044,9,2,3,One year,DSL,4.475652318,162.4848299,3382.424,5,3,4,4,2,4,5,3,False,False,False,True,True,False,False,True,False,True,False,True
861,0.0,54.0,Regular High School Diploma,Full Time,26728.25,Female,No,12.56624944,8,4,1,One year,DSL,36.19603,171.6516125,1541.269223,3,2,3,4,3,3,4,4,False,False,False,False,True,False,False,False,True,False,True,True
876,10.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,22120.88,Female,Yes,11.18358695,14,1,0,Two Year,Fiber Optic,1.161803984,256.2556326,1004.100502,5,4,3,3,5,5,3,4,False,True,True,False,True,True,False,False,True,True,True,False
899,1.0,32.0,"Some College, 1 or More Years, No Degree",Part Time,18555.15,Prefer not to answer,No,36.03975248,12,0,0,One year,No service,1.611546284,157.6283611,463.6509838,4,5,5,5,3,5,2,4,False,False,False,True,False,False,False,True,True,True,False,False
