Unnamed: 0,Children,Age,Income,Bandwidth_GB_Year,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Responses,Solutions,Replacements,Reliability,Options,Respectfulness,Courteous,Listening,DummyGender,DummyChurn,DummyTechie,DummyContract,DummyPort_modem,DummyTablet,DummyInternetService,DummyPhone,DummyMultiple,DummyOnlineSecurity,DummyOnlineBackup,DummyDeviceProtection,DummyTechSupport,DummyStreamingMovies,DummyStreamingTV,DummyPaperlessBilling,Outage_sec_perweek
46,1.0,23.0,132116.33,2384.885909,11,1,0,22.25746016,185.0719404,4,4,5,2,2,4,3,3,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,12.60910718
47,1.0,43.0,37358.13,1213.940165,11,1,0,9.427146079,194.5713157,4,5,3,4,3,3,4,3,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,9.315148629
48,1.0,86.0,26534.16,740.010722,11,2,2,7.760290062,105.6553743,3,4,3,2,3,3,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,8.561161123
49,2.0,84.0,33186.785,897.9716153,14,0,1,11.56938439,92.42950948,3,3,4,3,5,3,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,12.37711977
50,2.0,53.0,33186.785,1026.387172,13,3,0,3.343811019,185.545865,2,2,3,4,3,5,2,4,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,9.523347957
51,5.0,68.0,43820.85,1234.244324,12,1,0,7.338869531,188.1878188,2,3,3,5,4,2,3,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,8.546827521
52,1.0,59.0,38391.55,727.3731845,8,0,0,5.486534225,148.4154058,4,4,4,3,4,2,5,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2.663660525
53,0.0,31.0,44137.6,452.8721504,6,0,0,1.55278221,167.3108222,4,4,3,4,4,4,2,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,8.505759564
54,0.0,51.0,33186.785,1296.674543,11,2,0,12.07970325,158.9035122,4,2,4,5,4,3,3,4,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,7.93962081
55,1.0,58.0,62359.91,1840.628269,11,1,1,13.98666226,131.1822001,3,4,3,6,3,4,5,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,12.13605498
56,1.0,73.0,82634.86,1324.330108,11,0,1,9.563362997,116.095233,5,4,3,5,3,3,5,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,9.531952076
57,1.0,33.0,15690.25,958.1397059,11,0,1,6.732948946,142.3770231,4,5,5,5,4,4,4,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,11.31019855
58,1.0,53.0,14568.7,3382.424,15,2,0,15.72071086,221.1610613,3,5,3,2,4,5,5,4,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,11.23344836
59,0.0,49.0,33186.785,676.712908,9,1,0,7.233605493,125.8287767,5,5,3,4,4,5,5,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9.276154842
60,1.0,26.0,55319.23,1086.990308,12,1,0,2.871017037,163.8522919,5,5,4,4,3,4,4,4,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,7.273891516
61,1.0,25.0,81831.49,704.7540406,10,3,0,2.344875382,225.2947474,3,4,3,2,3,4,2,4,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,39.88390274
62,0.0,42.0,100076.65,1416.444695,14,3,0,7.960490246,150.2616031,5,5,5,4,3,2,4,4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,8.599583947
63,1.0,81.0,69965.65,1095.950634,15,0,0,12.25062113,91.90732298,5,5,5,3,4,3,2,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5.487498047
64,1.0,43.0,34883.69,1083.610268,13,0,0,36.19603,128.1616569,4,4,4,3,4,4,3,3,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,14.22358433
65,2.0,53.0,33186.785,1570.641337,14,1,0,7.916533093,185.1946788,3,4,3,3,4,4,4,3,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,9.701727666
66,3.0,70.0,10964.73,1007.425553,11,0,1,4.471254161,265.9812978,3,3,2,4,4,3,3,3,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,7.029314673
67,1.0,53.0,33186.785,1323.028419,19,1,0,10.79028074,207.5721417,4,4,3,6,2,5,7,4,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10.76672425
68,0.0,48.0,52636.6,1808.730555,17,0,1,12.24190682,152.3606978,3,1,2,2,5,2,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,7.802308089
69,1.0,63.0,19048.13,1120.241472,18,2,1,2.203859443,198.6516357,4,4,4,5,4,4,4,3,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,9.793779624
70,4.0,60.0,42784.82,2676.789803,12,0,0,23.92132231,212.350527,5,5,6,5,3,7,5,5,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,5.824350345
71,0.0,87.0,77996.88,1268.086909,17,0,0,3.7311787,254.1636111,3,3,4,5,4,3,5,4,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,7.013094993
72,3.0,54.0,47507.3,822.6771666,9,0,0,36.19603,162.6137295,2,3,3,3,5,2,2,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,32.03094504
73,3.0,53.0,7724.73,3382.424,9,0,1,36.19603,256.579456,4,3,2,3,3,3,3,4,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,7.700593432
74,1.0,70.0,1509.52,3382.424,16,0,0,2.378630018,214.1022755,4,4,4,5,2,3,4,4,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,12.05902236
75,2.0,67.0,81124.71,1648.102673,13,0,0,5.43464555,271.3744783,3,3,4,3,5,3,3,4,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,13.64707199
76,4.0,46.0,11795.57,768.0874545,11,0,0,1.092361222,201.5905907,1,1,2,2,3,1,3,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,9.033079233
77,1.0,53.0,33186.785,2426.030626,10,2,1,20.13981517,149.2913801,2,2,3,4,3,3,4,4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6.796336078
78,1.0,24.0,19038.78,3382.424,18,1,0,24.64873861,240.7606959,4,4,5,1,4,4,3,3,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,13.69012091
79,0.0,20.0,79167.77,1129.549713,17,0,0,9.677739656,126.242338,3,4,3,4,5,4,3,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,13.64419363
80,1.0,53.0,37428.26,1771.286466,13,2,1,9.82814183,188.6701828,3,4,3,2,5,3,3,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,14.85470353
81,1.0,53.0,45148.38,943.3391244,6,1,0,7.832238337,171.6836341,3,3,3,4,4,3,4,4,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,17.35455406
82,5.0,53.0,74855.47,1907.226083,13,3,0,19.45250317,191.0610724,4,4,4,3,1,5,4,4,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,7.117737737
83,4.0,71.0,33186.785,1885.939118,10,1,0,14.34766616,119.689113,4,4,3,3,4,3,2,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,7.949187078
84,1.0,32.0,71596.14,631.7435653,11,0,0,2.257358355,195.4035452,5,3,5,5,3,3,5,2,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,8.999994263
85,1.0,33.0,10389.95,3382.424,15,1,0,2.358129018,138.1911656,3,3,4,3,3,4,3,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4.274255962
86,3.0,67.0,19657.14,593.8572264,12,3,0,4.650578623,115.8369419,3,3,2,2,5,4,2,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,15.45723779
87,0.0,66.0,27827.03,777.3060718,13,1,1,3.721772616,208.068307,4,3,3,6,1,4,3,3,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,7.703726062
88,1.0,53.0,33186.785,1393.202392,12,4,0,3.76663012,187.6215728,4,4,4,3,3,3,3,5,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,8.926117575
89,0.0,61.0,19815.63,393.6524652,13,0,2,4.151256695,136.0997678,3,2,3,4,3,4,5,4,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,12.74200169
90,0.0,75.0,58482.9,3382.424,13,0,0,2.188918771,192.0084484,3,3,3,3,3,4,3,3,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,7.83211249
91,1.0,63.0,33186.785,2138.107161,9,1,0,13.85488928,221.0353527,3,2,3,2,4,3,2,4,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,13.60393581
92,0.0,68.0,115510.46,443.984031,3,1,0,3.273341151,163.0404044,2,2,2,4,3,3,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,5.655483352
93,2.0,32.0,33186.785,2481.385603,7,1,1,19.75096265,161.1025056,2,2,3,3,3,3,3,3,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,8.065866812
94,1.0,53.0,33186.785,2233.567181,7,1,0,18.38404445,186.6210869,3,2,3,4,2,4,5,3,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,11.47541549
95,0.0,29.0,24270.88,3382.424,13,0,0,4.672610857,244.4658583,5,5,4,5,1,5,5,4,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,10.37979788
96,0.0,53.0,54466.33,529.40733,17,0,1,6.796299371,124.8019028,4,4,4,3,2,4,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.657901827
97,10.0,23.0,64816.84,1956.7337,14,1,1,36.19603,188.611913,3,2,2,4,3,2,3,2,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,6.398436616
98,1.0,80.0,103311.26,2056.386979,15,1,0,20.31163945,162.443765,5,4,4,3,4,4,5,5,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,9.33803434
99,0.0,20.0,33186.785,1067.373076,11,1,1,6.998814446,180.2362145,3,4,3,5,2,6,6,6,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,12.24404403
100,1.0,69.0,58077.38,1806.135733,12,1,1,14.46288204,222.7999248,3,2,3,5,3,4,4,3,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,10.82210354
101,1.0,53.0,43466.35,1397.701335,10,1,0,11.13472066,182.8863727,3,4,4,4,3,4,2,3,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,14.2128601
102,0.0,53.0,23289.77,3382.424,19,1,0,2.542296644,220.3400058,2,4,3,2,3,3,5,3,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,12.58013188
103,2.0,25.0,49158.49,1886.531937,9,1,0,36.19603,170.9110193,4,4,3,4,3,3,3,4,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,11.2210066
104,1.0,53.0,3805.84,2294.781131,16,0,2,22.79214163,205.7639543,3,3,3,3,2,4,4,4,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,15.66159152
105,3.0,71.0,52616.27,826.3438621,10,2,1,3.823689744,203.7817651,3,5,3,2,4,2,4,2,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,5.535347323
106,3.0,53.0,30550.42,3382.424,18,1,0,10.77094687,245.0660727,3,3,2,4,3,2,4,3,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,8.06201289
107,2.0,56.0,12154.01,1436.793746,11,0,2,13.08671185,170.9069787,4,4,3,3,5,3,2,2,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,13.04270304
108,0.0,42.0,30649.31,1963.332683,9,2,2,14.76468813,173.540759,4,3,4,3,5,4,2,3,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,13.73417339
109,3.0,33.0,31417.33,1324.164906,14,0,0,9.473091121,194.3065983,2,2,2,2,4,2,3,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,11.35797937
110,1.0,47.0,55861.19,704.9375603,16,1,0,5.197446331,135.5831384,4,4,4,4,3,3,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,13.82441538
111,1.0,53.0,9044.26,3382.424,18,3,1,6.577552683,194.0043524,3,4,4,4,2,3,4,4,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,12.83804501
112,1.0,63.0,33186.785,377.0810282,10,1,0,3.174571918,158.0420478,4,3,4,2,3,3,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8.357284687
113,1.0,53.0,33186.785,1606.489936,9,0,0,17.88002366,113.2171506,3,3,3,3,3,3,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.32819175
114,0.0,67.0,12527.51,1431.409396,14,2,0,13.12190056,175.1031837,5,4,4,3,3,5,3,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,10.54819139
115,0.0,56.0,35499.06,2253.85247,13,3,0,23.34617699,162.9713747,6,5,4,4,4,3,5,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,7.664895103
116,1.0,24.0,33186.785,1353.29384,10,1,0,6.311709178,137.0944878,5,5,4,3,3,3,3,3,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,9.418424281
117,1.0,79.0,51237.28,1701.457566,12,3,0,12.58298231,276.0538352,4,5,4,4,1,4,4,4,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,11.53243433
118,1.0,61.0,33186.785,3382.424,16,1,1,7.120096363,128.4032505,4,3,4,5,3,5,4,4,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6.746267321
119,0.0,53.0,11014.98,1403.270091,11,2,0,9.344886869,209.8844788,4,4,4,4,3,4,4,4,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,8.809358115
120,4.0,53.0,33186.785,2603.903672,13,1,0,22.37815032,146.6848887,5,4,5,2,3,4,4,3,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,15.77290448
121,3.0,53.0,26130.78,1256.287854,8,2,0,4.799514433,242.8850241,4,4,2,3,3,4,5,5,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,4.767299756
122,1.0,65.0,36478.21,980.9935923,14,2,0,10.04672315,116.2578796,2,2,3,4,3,3,4,4,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,8.525291338
123,1.0,35.0,54533.63,1347.869205,15,2,1,8.156552837,187.3140137,4,4,4,3,4,3,3,4,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,8.601294241
124,1.0,31.0,37103.18,1127.267848,9,3,1,7.992791229,149.3564756,2,2,3,5,5,1,2,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,11.94399076
125,2.0,34.0,74679.84,1269.836202,11,0,1,7.231032028,125.3158375,4,3,3,3,4,5,4,4,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,12.00354554
126,1.0,68.0,95028.57,1038.745378,13,0,0,4.627672042,221.1091638,3,3,3,3,4,3,3,3,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,7.023897487
127,0.0,53.0,34281.1,1531.155367,9,0,0,10.05306287,172.9731248,5,5,4,2,5,3,4,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,12.24142125
128,0.0,53.0,36240.81,991.2441024,14,0,1,4.171044392,118.9763446,4,4,5,3,3,4,4,5,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,8.145156606
129,5.0,32.0,9515.64,3382.424,11,4,0,4.568682641,219.2776188,2,1,2,4,3,5,3,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,7.469785397
130,0.0,47.0,125814.88,1162.332926,10,0,1,6.085030507,168.9164634,3,3,4,2,4,4,3,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,39.69685071
131,8.0,53.0,12995.68,577.1157824,12,1,1,2.730250735,161.8238002,3,3,3,6,3,6,5,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,13.23580565
132,1.0,70.0,33186.785,1442.974877,14,1,0,8.574901206,184.5090853,2,3,2,4,4,2,1,3,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1.870075975
133,3.0,41.0,87354.99,1577.208717,10,0,0,9.743201772,253.2506431,5,5,3,4,4,4,4,5,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,5.90315482
134,1.0,59.0,76567.85,886.9398744,8,1,0,9.482919033,141.1274081,4,5,4,4,4,4,5,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,33.93054202
135,1.0,53.0,33186.785,1065.06443,12,0,0,8.447988841,179.0707979,4,3,4,4,5,2,3,3,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,6.249019913
136,1.0,70.0,33186.785,951.886985,17,0,0,36.19603,202.6966552,3,3,3,4,3,4,3,2,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,2.37365872
137,1.0,53.0,31600.92,1404.435534,12,2,0,7.251397592,196.0942607,4,6,6,1,7,3,4,3,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,3.600274015
138,4.0,75.0,74638.78,3382.424,10,3,1,14.64011644,255.0383823,3,3,4,4,3,4,2,5,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,6.430566138
139,0.0,26.0,32652.3,3382.424,9,0,1,11.71637124,177.3716663,5,4,5,4,4,4,4,4,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,9.805488063
140,4.0,25.0,63650.54,700.7343179,8,1,1,4.13273503,170.2282529,4,3,4,3,4,3,3,3,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,11.63315076
141,1.0,53.0,28622.6,513.237305,14,1,0,36.19603,192.516315,4,5,3,4,4,2,4,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,11.37533904
142,1.0,53.0,33186.785,3382.424,15,0,2,3.303030246,184.2688987,4,4,4,5,2,4,4,4,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,13.11560931
143,3.0,31.0,19800.81,3382.424,11,2,1,5.15825129,140.0646925,5,5,5,4,2,3,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,10.41519664
144,10.0,53.0,35954.77,819.4195269,14,1,0,3.237560234,136.8705643,4,4,3,3,2,3,4,2,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,13.12456536
